,Date,KU-bid,KU-ask,US-bid,US-ask,KU-mean,US-mean,,,Date,KU-bid,KU-ask,US-bid,US-ask,KU-mean,US-mean,,,Date,KU-bid,KU-ask,US-bid,US-ask,KU-mean,US-mean,,,Date,KU-bid,KU-ask,US-bid,US-ask,KU-mean,US-mean,,,Date,KU-bid,KU-ask,US-bid,US-ask,KU-mean,US-mean,,,Date,KU-bid,KU-ask,US-bid,US-ask,KU-mean,US-mean,,,Date,KU-bid,KU-ask,US-bid,US-ask,KU-mean,US-mean,,,Date,KU-bid,KU-ask,US-bid,US-ask,KU-mean,US-mean
45,2017/11/22 20:45,1087.8,1087.9,1087.8,1088.1,1087.85,1087.95,,,2017/11/23 20:15,1084.6,1084.7,1085.1,1085.5,1084.65,1085.3,,,2017/11/26 19:45,1086.7,1086.8,1086.7,1087,1086.75,1086.85,,,2017/11/27 19:45,1089.4,1089.5,1089.6,1089.9,1089.45,1089.75,,,2017/11/28 19:45,1084,1084.1,1084.1,1084.3,1084.05,1084.2,,,2017/11/29 19:45,1081.5,1081.6,1081.8,1082,1081.55,1081.9,,,2017/11/30 19:45,1087.5,1087.7,1087.6,1087.9,1087.6,1087.75,,,2017/12/3 19:45,1086,1086.1,1086.1,1086.5,1086.05,1086.3
46,2017/11/22 20:46,1088.2,1088.3,1088.3,1088.5,1088.25,1088.4,,,2017/11/23 20:16,1085,1085.1,1085,1085.1,1085.05,1085.05,,,2017/11/26 19:46,1086.8,1086.9,1086.8,1087.2,1086.85,1087,,,2017/11/27 19:46,1089.4,1089.5,1089.6,1089.9,1089.45,1089.75,,,2017/11/28 19:46,1083.9,1084,1084.1,1084.3,1083.95,1084.2,,,2017/11/29 19:46,1081.3,1081.4,1081.6,1082,1081.35,1081.8,,,2017/11/30 19:46,1087.5,1087.6,1087.6,1088,1087.55,1087.8,,,2017/12/3 19:46,1086.1,1086.2,1086,1086.3,1086.15,1086.15
47,2017/11/22 20:47,1088.2,1088.3,1088.1,1088.5,1088.25,1088.3,,,2017/11/23 20:17,1085,1085.1,1085.1,1085.4,1085.05,1085.25,,,2017/11/26 19:47,1086.8,1086.9,1086.9,1087.2,1086.85,1087.05,,,2017/11/27 19:47,1089.4,1089.5,1089.5,1089.8,1089.45,1089.65,,,2017/11/28 19:47,1083.9,1084,1084,1084.3,1083.95,1084.15,,,2017/11/29 19:47,1081.3,1081.4,1081.5,1081.6,1081.35,1081.55,,,2017/11/30 19:47,1087.5,1087.6,1087.6,1087.9,1087.55,1087.75,,,2017/12/3 19:47,1086.1,1086.2,1086.1,1086.5,1086.15,1086.3
48,2017/11/22 20:48,1088.2,1088.3,1088.2,1088.5,1088.25,1088.35,,,2017/11/23 20:18,1085,1085.1,1085.2,1085.5,1085.05,1085.35,,,2017/11/26 19:48,1086.6,1086.7,1086.9,1087.1,1086.65,1087,,,2017/11/27 19:48,1089.4,1089.5,1089.6,1089.9,1089.45,1089.75,,,2017/11/28 19:48,1083.9,1084,1084,1084.3,1083.95,1084.15,,,2017/11/29 19:48,1081.2,1081.3,1081.3,1081.6,1081.25,1081.45,,,2017/11/30 19:48,1087.5,1087.8,1087.6,1087.9,1087.65,1087.75,,,2017/12/3 19:48,1086.3,1086.4,1086.5,1086.6,1086.35,1086.55
49,2017/11/22 20:49,1088.3,1088.4,1088.3,1088.5,1088.35,1088.4,,,2017/11/23 20:19,1084.6,1084.7,1085.1,1085.5,1084.65,1085.3,,,2017/11/26 19:49,1086.7,1086.8,1086.8,1087,1086.75,1086.9,,,2017/11/27 19:49,1089.4,1089.5,1089.6,1089.9,1089.45,1089.75,,,2017/11/28 19:49,1083.7,1083.8,1084,1084.2,1083.75,1084.1,,,2017/11/29 19:49,1081.3,1081.4,1081.3,1081.5,1081.35,1081.4,,,2017/11/30 19:49,1087.5,1087.6,1087.8,1087.9,1087.55,1087.85,,,2017/12/3 19:49,1086.5,1086.6,1086.5,1086.8,1086.55,1086.65
50,2017/11/22 20:50,1088.3,1088.4,1088.3,1088.5,1088.35,1088.4,,,2017/11/23 20:20,1084.6,1084.7,1084.7,1085,1084.65,1084.85,,,2017/11/26 19:50,1086.7,1086.8,1086.8,1087,1086.75,1086.9,,,2017/11/27 19:50,1089.1,1089.2,1089.5,1089.8,1089.15,1089.65,,,2017/11/28 19:50,1083.9,1084,1084,1084.1,1083.95,1084.05,,,2017/11/29 19:50,1081.3,1081.4,1081.5,1081.8,1081.35,1081.65,,,2017/11/30 19:50,1087.4,1087.8,1087.5,1087.8,1087.6,1087.65,,,2017/12/3 19:50,1086.5,1086.6,1086.6,1086.9,1086.55,1086.75
51,2017/11/22 20:51,1088.6,1088.7,1088.4,1088.6,1088.65,1088.5,,,2017/11/23 20:21,1084,1084.1,1084.5,1084.7,1084.05,1084.6,,,2017/11/26 19:51,1086.7,1086.8,1086.9,1087,1086.75,1086.95,,,2017/11/27 19:51,1089.1,1089.2,1089.3,1089.7,1089.15,1089.5,,,2017/11/28 19:51,1083.9,1084,1084,1084.4,1083.95,1084.2,,,2017/11/29 19:51,1081.3,1081.4,1081.5,1081.6,1081.35,1081.55,,,2017/11/30 19:51,1087.4,1087.8,1087.6,1088,1087.6,1087.8,,,2017/12/3 19:51,1086.5,1086.6,1086.6,1086.9,1086.55,1086.75
52,2017/11/22 20:52,1088.7,1088.8,1088.5,1088.8,1088.75,1088.65,,,2017/11/23 20:22,1083.9,1084,1084.1,1084.4,1083.95,1084.25,,,2017/11/26 19:52,1086.8,1086.9,1087,1087.3,1086.85,1087.15,,,2017/11/27 19:52,1089,1089.1,1089.1,1089.4,1089.05,1089.25,,,2017/11/28 19:52,1084.1,1084.2,1084.4,1084.5,1084.15,1084.45,,,2017/11/29 19:52,1081,1081.1,1081.2,1081.4,1081.05,1081.3,,,2017/11/30 19:52,1087.4,1087.5,1087.5,1087.8,1087.45,1087.65,,,2017/12/3 19:52,1086.5,1086.6,1086.6,1086.8,1086.55,1086.7
53,2017/11/22 20:53,1088.7,1088.8,1088.8,1089,1088.75,1088.9,,,2017/11/23 20:23,1083.9,1084,1084,1084.3,1083.95,1084.15,,,2017/11/26 19:53,1086.9,1087,1087,1087.2,1086.95,1087.1,,,2017/11/27 19:53,1089,1089.2,1089,1089.4,1089.1,1089.2,,,2017/11/28 19:53,1084.1,1084.3,1084.5,1084.6,1084.2,1084.55,,,2017/11/29 19:53,1081,1081.1,1081.1,1081.5,1081.05,1081.3,,,2017/11/30 19:53,1087.7,1087.9,1087.6,1088,1087.8,1087.8,,,2017/12/3 19:53,1087,1087.1,1086.8,1087.1,1087.05,1086.95
54,2017/11/22 20:54,1089.1,1089.2,1089.1,1089.4,1089.15,1089.25,,,2017/11/23 20:24,1084.1,1084.2,1084.3,1084.5,1084.15,1084.4,,,2017/11/26 19:54,1086.8,1086.9,1087,1087.3,1086.85,1087.15,,,2017/11/27 19:54,1089.1,1089.2,1089.1,1089.4,1089.15,1089.25,,,2017/11/28 19:54,1084,1084.1,1084.4,1084.5,1084.05,1084.45,,,2017/11/29 19:54,1080.9,1081.1,1081.4,1081.5,1081,1081.45,,,2017/11/30 19:54,1087.7,1087.8,1088.1,1088.4,1087.75,1088.25,,,2017/12/3 19:54,1087.2,1087.3,1087.2,1087.5,1087.25,1087.35
55,2017/11/22 20:55,1089.2,1089.3,1089.3,1089.5,1089.25,1089.4,,,2017/11/23 20:25,1084.1,1084.2,1084.4,1084.5,1084.15,1084.45,,,2017/11/26 19:55,1086.8,1086.9,1087,1087.4,1086.85,1087.2,,,2017/11/27 19:55,1089.1,1089.2,1089.2,1089.5,1089.15,1089.35,,,2017/11/28 19:55,1084,1084.1,1084.3,1084.5,1084.05,1084.4,,,2017/11/29 19:55,1080.9,1081.1,1081,1081.5,1081,1081.25,,,2017/11/30 19:55,1087.7,1087.8,1088,1088.1,1087.75,1088.05,,,2017/12/3 19:55,1087.2,1087.3,1087.3,1087.5,1087.25,1087.4
56,2017/11/22 20:56,1089.2,1089.3,1089.3,1089.4,1089.25,1089.35,,,2017/11/23 20:26,1084.1,1084.2,1084.3,1084.5,1084.15,1084.4,,,2017/11/26 19:56,1086.7,1086.9,1086.9,1087.1,1086.8,1087,,,2017/11/27 19:56,1089.1,1089.2,1089.3,1089.6,1089.15,1089.45,,,2017/11/28 19:56,1084.1,1084.2,1084.3,1084.5,1084.15,1084.4,,,2017/11/29 19:56,1082.1,1082.2,1081.9,1082.3,1082.15,1082.1,,,2017/11/30 19:56,1087.8,1087.9,1088,1088.2,1087.85,1088.1,,,2017/12/3 19:56,1087.3,1087.4,1087.2,1087.5,1087.35,1087.35
57,2017/11/22 20:57,1089,1089.1,1089.1,1089.5,1089.05,1089.3,,,2017/11/23 20:27,1084,1084.1,1084.2,1084.5,1084.05,1084.35,,,2017/11/26 19:57,1086.7,1086.8,1086.9,1087.1,1086.75,1087,,,2017/11/27 19:57,1089.1,1089.2,1089.3,1089.5,1089.15,1089.4,,,2017/11/28 19:57,1084.1,1084.2,1084.3,1084.5,1084.15,1084.4,,,2017/11/29 19:57,1081.7,1081.8,1082,1082.3,1081.75,1082.15,,,2017/11/30 19:57,1087.8,1087.9,1088.1,1088.3,1087.85,1088.2,,,2017/12/3 19:57,1087.3,1087.4,1087.3,1087.5,1087.35,1087.4
58,2017/11/22 20:58,1088.7,1088.9,1089.1,1089.3,1088.8,1089.2,,,2017/11/23 20:28,1083.8,1083.9,1084.2,1084.4,1083.85,1084.3,,,2017/11/26 19:58,1086.7,1086.8,1086.9,1087,1086.75,1086.95,,,2017/11/27 19:58,1089.1,1089.2,1089.4,1089.5,1089.15,1089.45,,,2017/11/28 19:58,1084.1,1084.2,1084.2,1084.5,1084.15,1084.35,,,2017/11/29 19:58,1081.7,1081.8,1081.9,1082.1,1081.75,1082,,,2017/11/30 19:58,1088.2,1088.3,1088.2,1088.5,1088.25,1088.35,,,2017/12/3 19:58,1087.6,1087.7,1087.3,1087.6,1087.65,1087.45
